experiment_tag,alpha_s,alpha_a,base_clean,base_noisy,A0(t=10),A2(t=10),A7(t=10)
(no tag),0.010,0.050,1.0000,0.9200,,,0.2000
(no tag),0.010,0.100,1.0000,0.7200,,,0.2400
(no tag),0.010,0.200,1.0000,0.4800,,,0.3200
(no tag),0.050,0.050,1.0000,0.0000,,,0.3200
(no tag),0.050,0.100,1.0000,0.0000,,,0.3200
(no tag),0.050,0.200,1.0000,0.0800,,,0.3200
all_three,0.010,0.050,1.0000,0.9200,0.4000,0.2000,
all_three,0.010,0.100,1.0000,0.7200,0.4400,0.4000,
all_three,0.010,0.200,1.0000,0.4800,0.5200,0.4800,
all_three,0.050,0.050,1.0000,0.0000,0.0800,0.1600,
all_three,0.050,0.100,1.0000,0.0000,0.1200,0.2800,
all_three,0.050,0.200,1.0000,0.0800,0.0800,0.1600,
asym_lam01,0.010,0.050,1.0000,0.9200,0.4000,0.2000,
asym_lam01,0.010,0.100,1.0000,0.7200,0.4800,0.4000,
asym_lam01,0.010,0.200,1.0000,0.4800,0.5600,0.5200,
asym_lam01,0.050,0.050,1.0000,0.0000,0.0800,0.1600,
asym_lam01,0.050,0.100,1.0000,0.0000,0.0800,0.2800,
asym_lam01,0.050,0.200,1.0000,0.0800,0.0800,0.1200,
asym_noise,0.010,0.050,1.0000,0.9200,0.4800,0.9600,
asym_noise,0.010,0.100,1.0000,0.7200,0.5200,0.8800,
asym_noise,0.010,0.200,1.0000,0.4800,0.5200,0.8800,
asym_noise,0.050,0.050,1.0000,0.0000,0.0000,0.0800,
asym_noise,0.050,0.100,1.0000,0.0000,0.0400,0.2800,
asym_noise,0.050,0.200,1.0000,0.0800,0.0800,0.1600,
baseline,0.010,0.050,1.0000,0.9200,0.9200,0.7600,
baseline,0.010,0.100,1.0000,0.7200,0.9600,0.5600,
baseline,0.010,0.200,1.0000,0.4800,0.9600,0.8000,
baseline,0.050,0.050,1.0000,0.0000,0.1600,0.1600,
baseline,0.050,0.100,1.0000,0.0000,0.1200,0.2400,
baseline,0.050,0.200,1.0000,0.0800,0.2000,0.2400,
lam01,0.010,0.050,1.0000,0.9200,0.9200,0.6800,
lam01,0.010,0.100,1.0000,0.7200,0.9200,0.8000,
lam01,0.010,0.200,1.0000,0.4800,0.9600,0.8000,
lam01,0.050,0.050,1.0000,0.0000,0.1200,0.4000,
lam01,0.050,0.100,1.0000,0.0000,0.2800,0.2800,
lam01,0.050,0.200,1.0000,0.0800,0.1600,0.3600,
lam025,0.010,0.050,1.0000,0.9200,0.8800,0.4800,
lam025,0.010,0.100,1.0000,0.7200,0.9600,0.4800,
lam025,0.010,0.200,1.0000,0.4800,1.0000,0.6000,
lam025,0.050,0.050,1.0000,0.0000,0.2000,0.2000,
lam025,0.050,0.100,1.0000,0.0000,0.2000,0.0800,
lam025,0.050,0.200,1.0000,0.0800,0.2000,0.1600,
no_warmstart,0.010,0.050,1.0000,0.9200,1.0000,1.0000,
no_warmstart,0.010,0.100,1.0000,0.7200,0.9600,0.9200,
no_warmstart,0.010,0.200,1.0000,0.4800,0.5200,0.4800,
no_warmstart,0.050,0.050,1.0000,0.0000,0.0000,0.0000,
no_warmstart,0.050,0.100,1.0000,0.0000,0.0000,0.0000,
no_warmstart,0.050,0.200,1.0000,0.0800,0.0000,0.0000,
