method,alpha_s,alpha_a,success_rate,mean_reward,n_rollouts,latency_ms
BASE-clean,0.000,0.000,1.0000,1.0000,25,
BASE-noisy,0.010,0.050,0.9200,0.9200,25,
JOINT-A2,0.010,0.050,0.6800,0.6800,25,14.32
BASE-noisy,0.010,0.100,0.7200,0.7200,25,
JOINT-A2,0.010,0.100,0.8000,0.8000,25,14.25
BASE-noisy,0.010,0.200,0.4800,0.4800,25,
JOINT-A2,0.010,0.200,0.8000,0.8000,25,14.22
BASE-noisy,0.050,0.050,0.0000,0.0000,25,
JOINT-A2,0.050,0.050,0.4000,0.4000,25,14.04
BASE-noisy,0.050,0.100,0.0000,0.0000,25,
JOINT-A2,0.050,0.100,0.2800,0.2800,25,13.98
BASE-noisy,0.050,0.200,0.0800,0.0800,25,
JOINT-A2,0.050,0.200,0.3600,0.3600,25,14.12
