anchor,experiment_tag,t_start,method,alpha_s,alpha_a,success_rate,mean_reward,n_rollouts,latency_ms
A7,,10,BASE-clean,0.000,0.000,1.0000,1.0000,25,
A7,,10,BASE-noisy,0.010,0.050,0.9200,0.9200,25,
A7,,10,JOINT-A7,0.010,0.050,0.9200,0.9200,25,14.40
A7,,10,BASE-noisy,0.010,0.100,0.7200,0.7200,25,
A7,,10,JOINT-A7,0.010,0.100,0.8400,0.8400,25,14.06
A7,,10,BASE-noisy,0.010,0.200,0.4800,0.4800,25,
A7,,10,JOINT-A7,0.010,0.200,0.4800,0.4800,25,14.31
A7,,10,BASE-noisy,0.050,0.050,0.0000,0.0000,25,
A7,,10,JOINT-A7,0.050,0.050,0.0000,0.0000,25,14.25
A7,,10,BASE-noisy,0.050,0.100,0.0000,0.0000,25,
A7,,10,JOINT-A7,0.050,0.100,0.0000,0.0000,25,14.40
A7,,10,BASE-noisy,0.050,0.200,0.0800,0.0800,25,
A7,,10,JOINT-A7,0.050,0.200,0.0000,0.0000,25,14.31
A7,,5,BASE-clean,0.000,0.000,1.0000,1.0000,25,
A7,,5,BASE-noisy,0.010,0.050,0.9200,0.9200,25,
A7,,5,JOINT-A7,0.010,0.050,1.0000,1.0000,25,7.91
A7,,5,BASE-noisy,0.010,0.100,0.7200,0.7200,25,
A7,,5,JOINT-A7,0.010,0.100,1.0000,1.0000,25,7.81
A7,,5,BASE-noisy,0.010,0.200,0.4800,0.4800,25,
A7,,5,JOINT-A7,0.010,0.200,1.0000,1.0000,25,7.88
A7,,5,BASE-noisy,0.050,0.050,0.0000,0.0000,25,
A7,,5,JOINT-A7,0.050,0.050,0.0800,0.0800,25,7.92
A7,,5,BASE-noisy,0.050,0.100,0.0000,0.0000,25,
A7,,5,JOINT-A7,0.050,0.100,0.0400,0.0400,25,7.84
A7,,5,BASE-noisy,0.050,0.200,0.0800,0.0800,25,
A7,,5,JOINT-A7,0.050,0.200,0.0000,0.0000,25,7.74
A7,,10,BASE-clean,0.000,0.000,1.0000,1.0000,25,
A7,,10,BASE-noisy,0.050,0.050,0.0800,0.0800,25,
A7,,10,JOINT-A7,0.050,0.050,0.4800,0.4800,25,14.11
A7,,10,BASE-noisy,0.050,0.100,0.0000,0.0000,25,
A7,,10,JOINT-A7,0.050,0.100,0.2800,0.2800,25,13.95
A7,,10,BASE-noisy,0.050,0.200,0.0400,0.0400,25,
A7,,10,JOINT-A7,0.050,0.200,0.2400,0.2400,25,13.80
A7,,5,BASE-clean,0.000,0.000,1.0000,1.0000,25,
A7,,5,BASE-noisy,0.050,0.050,0.0800,0.0800,25,
A7,,5,JOINT-A7,0.050,0.050,0.0400,0.0400,25,7.81
A7,,5,BASE-noisy,0.050,0.100,0.0000,0.0000,25,
A7,,5,JOINT-A7,0.050,0.100,0.0000,0.0000,25,7.78
A7,,5,BASE-noisy,0.050,0.200,0.0400,0.0400,25,
A7,,5,JOINT-A7,0.050,0.200,0.0400,0.0400,25,7.75
A7,,10,BASE-clean,0.000,0.000,1.0000,1.0000,25,
A7,,10,BASE-noisy,0.050,0.050,0.0800,0.0800,25,
A7,,10,JOINT-A7,0.050,0.050,0.2800,0.2800,25,13.79
A7,,10,BASE-noisy,0.050,0.100,0.0000,0.0000,25,
A7,,10,JOINT-A7,0.050,0.100,0.3200,0.3200,25,14.20
A7,,10,BASE-noisy,0.050,0.200,0.0400,0.0400,25,
A7,,10,JOINT-A7,0.050,0.200,0.1600,0.1600,25,14.20
A7,,5,BASE-clean,0.000,0.000,1.0000,1.0000,25,
A7,,5,BASE-noisy,0.050,0.050,0.0800,0.0800,25,
A7,,5,JOINT-A7,0.050,0.050,0.0800,0.0800,25,7.61
A7,,5,BASE-noisy,0.050,0.100,0.0000,0.0000,25,
A7,,5,JOINT-A7,0.050,0.100,0.0800,0.0800,25,7.69
A7,,5,BASE-noisy,0.050,0.200,0.0400,0.0400,25,
A7,,5,JOINT-A7,0.050,0.200,0.0800,0.0800,25,7.82
A7,,10,BASE-clean,0.000,0.000,1.0000,1.0000,25,
A7,,10,BASE-noisy,0.050,0.050,0.0800,0.0800,25,
A7,,10,JOINT-A7,0.050,0.050,0.3600,0.3600,25,14.36
A7,,10,BASE-noisy,0.050,0.100,0.0000,0.0000,25,
A7,,10,JOINT-A7,0.050,0.100,0.4000,0.4000,25,14.20
A7,,10,BASE-noisy,0.050,0.200,0.0400,0.0400,25,
A7,,10,JOINT-A7,0.050,0.200,0.3600,0.3600,25,14.09
A7,,5,BASE-clean,0.000,0.000,1.0000,1.0000,25,
A7,,5,BASE-noisy,0.050,0.050,0.0800,0.0800,25,
A7,,5,JOINT-A7,0.050,0.050,0.0800,0.0800,25,7.66
A7,,5,BASE-noisy,0.050,0.100,0.0000,0.0000,25,
A7,,5,JOINT-A7,0.050,0.100,0.0800,0.0800,25,7.63
A7,,5,BASE-noisy,0.050,0.200,0.0400,0.0400,25,
A7,,5,JOINT-A7,0.050,0.200,0.0400,0.0400,25,7.66
A7,,10,BASE-clean,0.000,0.000,1.0000,1.0000,25,
A7,,10,BASE-noisy,0.050,0.050,0.0800,0.0800,25,
A7,,10,JOINT-A7,0.050,0.050,0.3200,0.3200,25,13.82
A7,,10,BASE-noisy,0.050,0.100,0.0000,0.0000,25,
A7,,10,JOINT-A7,0.050,0.100,0.4000,0.4000,25,13.95
A7,,10,BASE-noisy,0.050,0.200,0.0400,0.0400,25,
A7,,10,JOINT-A7,0.050,0.200,0.4000,0.4000,25,13.91
