alpha_s,alpha_a,samdp
0.000,0.000,0.8800
0.000,0.050,0.8600
0.000,0.100,0.8800
0.000,0.200,0.5200
0.010,0.000,0.8800
0.010,0.050,0.8200
0.010,0.100,0.8000
0.010,0.200,0.4000
0.020,0.000,0.7600
0.020,0.050,0.7600
0.020,0.100,0.6600
0.020,0.200,0.2800
0.030,0.000,0.6400
0.030,0.050,0.7600
0.030,0.100,0.7400
0.030,0.200,0.3400
0.040,0.000,0.6400
0.040,0.050,0.7200
0.040,0.100,0.6800
0.040,0.200,0.3400
0.050,0.000,0.5800
0.050,0.050,0.6400
0.050,0.100,0.6000
0.050,0.200,0.3000
